[2020-07-07 08:29:16.178448] Generating Gabor Filters...
[2020-07-07 08:29:16.187774] Generating Gabor Filters Done!
[2020-07-07 08:29:16.187802] Loading MNIST Data...
[2020-07-07 08:29:17.417917] Loading MNIST Data Done!
[2020-07-07 08:29:17.639509] Convoluting Images...
[2020-07-07 08:29:43.267723] Convoluting Images Done!
[2020-07-07 08:29:43.268330] Image Blocks and Gabor Images Capturing...
[2020-07-07 08:33:52.136364] Image Blocks and Gabor Images Capturing Done!
[2020-07-07 08:33:58.939556] Epoch : 0001 loss = 56.903757821
[2020-07-07 08:34:03.261487] Epoch : 0002 loss = 0.096754762
[2020-07-07 08:34:07.422460] Epoch : 0003 loss = 0.093135824
[2020-07-07 08:34:11.694557] Epoch : 0004 loss = 0.091448220
[2020-07-07 08:34:16.099184] Epoch : 0005 loss = 0.092763994
[2020-07-07 08:34:20.357662] Epoch : 0006 loss = 0.126033729
[2020-07-07 08:34:24.616286] Epoch : 0007 loss = 0.122052261
[2020-07-07 08:34:28.830346] Epoch : 0008 loss = 0.108112022
[2020-07-07 08:34:33.102546] Epoch : 0009 loss = 0.099720854
[2020-07-07 08:34:37.360374] Epoch : 0010 loss = 0.091175362
[2020-07-07 08:34:41.671732] Epoch : 0011 loss = 0.082993804
[2020-07-07 08:34:45.885043] Epoch : 0012 loss = 0.075324775
[2020-07-07 08:34:50.197797] Epoch : 0013 loss = 0.070769832
[2020-07-07 08:34:54.453612] Epoch : 0014 loss = 0.073958104
[2020-07-07 08:34:58.707179] Epoch : 0015 loss = 0.114033558
[2020-07-07 08:35:02.931561] Epoch : 0016 loss = 5233.072140175
[2020-07-07 08:35:07.129211] Epoch : 0017 loss = 0.688207456
[2020-07-07 08:35:11.372571] Epoch : 0018 loss = 0.280907369
[2020-07-07 08:35:15.723460] Epoch : 0019 loss = 0.238136232
[2020-07-07 08:35:20.116622] Epoch : 0020 loss = 0.233549625
[2020-07-07 08:35:24.390060] Epoch : 0021 loss = 2.555339923
[2020-07-07 08:35:28.704612] Epoch : 0022 loss = 11.211541407
[2020-07-07 08:35:32.990804] Epoch : 0023 loss = 12.484469559
[2020-07-07 08:35:37.402850] Epoch : 0024 loss = 8.298585249
[2020-07-07 08:35:41.814680] Epoch : 0025 loss = 4.728478560
[2020-07-07 08:35:46.108804] Epoch : 0026 loss = 2.741801745
[2020-07-07 08:35:50.386113] Epoch : 0027 loss = 1.510708289
[2020-07-07 08:35:54.681226] Epoch : 0028 loss = 0.712384393
[2020-07-07 08:35:58.994685] Epoch : 0029 loss = 0.419563004
[2020-07-07 08:36:03.328953] Epoch : 0030 loss = 0.240608082
[2020-07-07 08:36:07.621966] Epoch : 0031 loss = 0.157860330
[2020-07-07 08:36:11.890743] Epoch : 0032 loss = 0.122704645
[2020-07-07 08:36:16.118749] Epoch : 0033 loss = 0.102760071
[2020-07-07 08:36:20.465183] Epoch : 0034 loss = 0.091113767
[2020-07-07 08:36:24.834079] Epoch : 0035 loss = 0.081891055
[2020-07-07 08:36:29.040996] Epoch : 0036 loss = 0.074073822
[2020-07-07 08:36:33.207643] Epoch : 0037 loss = 0.069399583
[2020-07-07 08:36:37.455197] Epoch : 0038 loss = 0.068231814
[2020-07-07 08:36:41.798505] Epoch : 0039 loss = 0.075719112
[2020-07-07 08:36:46.115286] Epoch : 0040 loss = 3631.523232976
[2020-07-07 08:36:50.485010] Epoch : 0041 loss = 3.094127835
[2020-07-07 08:36:54.781499] Epoch : 0042 loss = 0.356882805
[2020-07-07 08:36:59.119992] Epoch : 0043 loss = 0.241888768
[2020-07-07 08:37:03.404350] Epoch : 0044 loss = 0.227997219
[2020-07-07 08:37:07.790664] Epoch : 0045 loss = 0.226393622
[2020-07-07 08:37:12.085353] Epoch : 0046 loss = 2.788892560
[2020-07-07 08:37:16.393517] Epoch : 0047 loss = 9.077852265
[2020-07-07 08:37:20.576532] Epoch : 0048 loss = 10.252356988
[2020-07-07 08:37:24.759936] Epoch : 0049 loss = 6.821833465
[2020-07-07 08:37:29.008293] Epoch : 0050 loss = 4.262751722
[2020-07-07 08:37:33.251080] Epoch : 0051 loss = 2.357508261
[2020-07-07 08:37:37.479198] Epoch : 0052 loss = 1.273919379
[2020-07-07 08:37:41.769731] Epoch : 0053 loss = 0.608167787
[2020-07-07 08:37:45.902920] Epoch : 0054 loss = 0.383602112
[2020-07-07 08:37:50.084268] Epoch : 0055 loss = 0.221438187
[2020-07-07 08:37:54.285372] Epoch : 0056 loss = 0.174165746
[2020-07-07 08:37:58.628554] Epoch : 0057 loss = 0.127422397
[2020-07-07 08:38:02.882443] Epoch : 0058 loss = 0.101973629
[2020-07-07 08:38:07.116041] Epoch : 0059 loss = 0.087613952
[2020-07-07 08:38:11.424887] Epoch : 0060 loss = 0.078612521
[2020-07-07 08:38:15.781735] Epoch : 0061 loss = 0.073361942
[2020-07-07 08:38:20.151015] Epoch : 0062 loss = 0.070526953
[2020-07-07 08:38:24.477786] Epoch : 0063 loss = 0.070305991
[2020-07-07 08:38:28.843323] Epoch : 0064 loss = 0.076821034
[2020-07-07 08:38:33.106703] Epoch : 0065 loss = 1857.309422819
[2020-07-07 08:38:37.295738] Epoch : 0066 loss = 1.084166164
[2020-07-07 08:38:41.496778] Epoch : 0067 loss = 0.253999789
[2020-07-07 08:38:45.689937] Epoch : 0068 loss = 0.219323298
[2020-07-07 08:38:49.869728] Epoch : 0069 loss = 0.216351657
[2020-07-07 08:38:53.958310] Epoch : 0070 loss = 0.696030816
[2020-07-07 08:38:58.114910] Epoch : 0071 loss = 4.842360120
[2020-07-07 08:39:02.373982] Epoch : 0072 loss = 6.435036724
[2020-07-07 08:39:06.545688] Epoch : 0073 loss = 5.084356705
[2020-07-07 08:39:10.722745] Epoch : 0074 loss = 3.083074397
[2020-07-07 08:39:14.940884] Epoch : 0075 loss = 2.018992376
