[2020-07-07 10:15:42.976991] Generating Gabor Filters...
[2020-07-07 10:15:42.986380] Generating Gabor Filters Done!
[2020-07-07 10:15:42.986408] Loading MNIST Data...
[2020-07-07 10:15:44.238532] Loading MNIST Data Done!
[2020-07-07 10:15:44.467573] Convoluting Images...
[2020-07-07 10:16:10.134552] Convoluting Images Done!
[2020-07-07 10:16:10.135134] Image Blocks and Gabor Images Capturing...
[2020-07-07 10:20:16.159930] Image Blocks and Gabor Images Capturing Done!
[2020-07-07 10:26:05.282280] Epoch : 0082 loss = 0.085087391
[2020-07-07 10:26:09.426576] Epoch : 0083 loss = 0.077019316
[2020-07-07 10:26:13.583856] Epoch : 0084 loss = 0.072319475
[2020-07-07 10:26:17.833244] Epoch : 0085 loss = 0.069989890
[2020-07-07 10:26:22.152697] Epoch : 0086 loss = 0.071275062
[2020-07-07 10:26:26.438213] Epoch : 0087 loss = 0.081253277
[2020-07-07 10:26:30.689333] Epoch : 0088 loss = 767.336367881
[2020-07-07 10:26:34.922376] Epoch : 0089 loss = 0.270322306
[2020-07-07 10:26:39.159658] Epoch : 0090 loss = 0.205770133
[2020-07-07 10:26:43.458483] Epoch : 0091 loss = 0.259288467
[2020-07-07 10:26:47.766999] Epoch : 0092 loss = 1.309932125
[2020-07-07 10:26:52.088041] Epoch : 0093 loss = 4.065359710
[2020-07-07 10:26:56.367606] Epoch : 0094 loss = 4.135634689
[2020-07-07 10:27:00.630299] Epoch : 0095 loss = 3.007046264
[2020-07-07 10:27:04.912648] Epoch : 0096 loss = 1.969419261
[2020-07-07 10:27:09.187711] Epoch : 0097 loss = 1.225267449
[2020-07-07 10:27:13.510064] Epoch : 0098 loss = 0.776718197
[2020-07-07 10:27:17.732558] Epoch : 0099 loss = 0.437397822
[2020-07-07 10:27:21.908074] Epoch : 0100 loss = 0.268941718
[2020-07-07 10:27:26.059691] Epoch : 0101 loss = 0.180332184
[2020-07-07 10:27:30.319678] Epoch : 0102 loss = 0.132781816
[2020-07-07 10:27:34.568324] Epoch : 0103 loss = 0.107685670
[2020-07-07 10:27:38.722678] Epoch : 0104 loss = 0.091525484
[2020-07-07 10:27:42.907587] Epoch : 0105 loss = 0.082029614
[2020-07-07 10:27:47.126612] Epoch : 0106 loss = 0.076385790
[2020-07-07 10:27:51.379416] Epoch : 0107 loss = 0.072297910
[2020-07-07 10:27:55.583808] Epoch : 0108 loss = 0.069826399
[2020-07-07 10:27:59.753673] Epoch : 0109 loss = 0.072297011
[2020-07-07 10:28:04.051813] Epoch : 0110 loss = 1110.877566070
[2020-07-07 10:28:08.363053] Epoch : 0111 loss = 0.509320063
[2020-07-07 10:28:12.697330] Epoch : 0112 loss = 0.198434796
[2020-07-07 10:28:16.965490] Epoch : 0113 loss = 0.182049003
[2020-07-07 10:28:21.172857] Epoch : 0114 loss = 0.180540510
[2020-07-07 10:28:25.390744] Epoch : 0115 loss = 0.180204222
[2020-07-07 10:28:29.567002] Epoch : 0116 loss = 0.426486295
[2020-07-07 10:28:33.703537] Epoch : 0117 loss = 2.090909567
[2020-07-07 10:28:37.861882] Epoch : 0118 loss = 3.098129693
[2020-07-07 10:28:42.023252] Epoch : 0119 loss = 2.351984420
[2020-07-07 10:28:46.223250] Epoch : 0120 loss = 1.542164216
[2020-07-07 10:28:50.414290] Epoch : 0121 loss = 0.843459343
[2020-07-07 10:28:54.574161] Epoch : 0122 loss = 0.490395792
[2020-07-07 10:28:58.768603] Epoch : 0123 loss = 0.280530875
[2020-07-07 10:29:02.910338] Epoch : 0124 loss = 0.184614805
[2020-07-07 10:29:07.054570] Epoch : 0125 loss = 0.143379749
[2020-07-07 10:29:11.251730] Epoch : 0126 loss = 0.114710632
[2020-07-07 10:29:15.360955] Epoch : 0127 loss = 0.098833546
[2020-07-07 10:29:19.529166] Epoch : 0128 loss = 0.086981432
[2020-07-07 10:29:23.714571] Epoch : 0129 loss = 0.077192659
[2020-07-07 10:29:27.975951] Epoch : 0130 loss = 0.071442242
[2020-07-07 10:29:32.268125] Epoch : 0131 loss = 0.068514226
[2020-07-07 10:29:36.535894] Epoch : 0132 loss = 0.069551415
[2020-07-07 10:29:40.793325] Epoch : 0133 loss = 0.078792470
[2020-07-07 10:29:45.020183] Epoch : 0134 loss = 220.313750520
[2020-07-07 10:29:49.250861] Epoch : 0135 loss = 0.161857380
[2020-07-07 10:29:53.430319] Epoch : 0136 loss = 0.139780577
[2020-07-07 10:29:57.602974] Epoch : 0137 loss = 0.139296099
[2020-07-07 10:30:01.756954] Epoch : 0138 loss = 0.138969786
[2020-07-07 10:30:05.864132] Epoch : 0139 loss = 0.208214123
[2020-07-07 10:30:09.978750] Epoch : 0140 loss = 0.821940689
[2020-07-07 10:30:14.055773] Epoch : 0141 loss = 0.840029067
[2020-07-07 10:30:18.145973] Epoch : 0142 loss = 0.562888591
[2020-07-07 10:30:22.292035] Epoch : 0143 loss = 0.378015896
[2020-07-07 10:30:26.442994] Epoch : 0144 loss = 0.255977550
[2020-07-07 10:30:30.607036] Epoch : 0145 loss = 0.172369571
[2020-07-07 10:30:34.762524] Epoch : 0146 loss = 0.130308300
[2020-07-07 10:30:38.951642] Epoch : 0147 loss = 0.107299008
[2020-07-07 10:30:43.212701] Epoch : 0148 loss = 0.093193683
[2020-07-07 10:30:47.468531] Epoch : 0149 loss = 0.083717661
[2020-07-07 10:30:51.737597] Epoch : 0150 loss = 0.077451912
[2020-07-07 10:30:55.980584] Epoch : 0151 loss = 0.073854214
[2020-07-07 10:31:00.142034] Epoch : 0152 loss = 0.072420467
[2020-07-07 10:31:04.212878] Epoch : 0153 loss = 0.073401981
[2020-07-07 10:31:08.357925] Epoch : 0154 loss = 0.080241144
[2020-07-07 10:31:12.476941] Epoch : 0155 loss = 275.485996767
[2020-07-07 10:31:16.635287] Epoch : 0156 loss = 0.158904185
[2020-07-07 10:31:20.901013] Epoch : 0157 loss = 0.156298810
[2020-07-07 10:31:25.146372] Epoch : 0158 loss = 0.155907876
[2020-07-07 10:31:29.396954] Epoch : 0159 loss = 0.219569944
[2020-07-07 10:31:33.628099] Epoch : 0160 loss = 0.737190498
[2020-07-07 10:31:37.818986] Epoch : 0161 loss = 1.136759156
[2020-07-07 10:31:41.981849] Epoch : 0162 loss = 0.920847929
[2020-07-07 10:31:46.099393] Epoch : 0163 loss = 0.653501267
[2020-07-07 10:31:50.316500] Epoch : 0164 loss = 0.451683326
[2020-07-07 10:31:54.625523] Epoch : 0165 loss = 0.300668663
[2020-07-07 10:31:58.886761] Epoch : 0166 loss = 0.202589295
[2020-07-07 10:32:03.118986] Epoch : 0167 loss = 0.141202631
[2020-07-07 10:32:07.382221] Epoch : 0168 loss = 0.114575233
